SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
TwoPlayer,false,dummy-3,/data/model-dummy-3/onnx,50,1000,195190,160,160,264,274,244,257,268,278,49,15,741.098,"127683.000000,5.262807,837.000000,0.000000,6.451519,6.451569:127683.000000,53.609071,79.000000,0.000000,90.190266,90.190973:127683.000000,3.603526,12.000000,1.000000,0.525084,0.525088:127683.000000,3.718945,14.000000,2.000000,0.474410,0.474413"
TwoPlayer,false,dummy-4,/data/model-dummy-4/onnx,50,1000,192326,142,142,260,267,247,259,276,290,59,16,715.381,"122071.000000,5.318511,750.000000,1.000000,5.748236,5.748283:122071.000000,53.269409,79.000000,0.000000,110.852364,110.853272:122071.000000,3.607179,12.000000,1.000000,0.574596,0.574600:122071.000000,3.735171,14.000000,2.000000,0.485313,0.485317"
OnePlayer,false,dummy-3,/data/model-dummy-3/onnx,50,1000,239873,379,383,151,154,142,150,139,149,177,12,1282.76,"217662.000000,5.359245,723.000000,1.000000,3.466316,3.466332:217662.000000,53.463521,79.000000,0.000000,75.325421,75.325767:217662.000000,3.464192,9.000000,1.000000,0.474205,0.474207:217662.000000,3.587085,10.000000,1.000000,0.524248,0.524250"
OnePlayer,false,dummy-4,/data/model-dummy-4/onnx,50,1000,233410,422,424,134,138,146,154,131,139,156,11,1219.89,"211736.000000,5.228388,721.000000,1.000000,3.385129,3.385145:211736.000000,53.526150,79.000000,0.000000,77.002395,77.002759:211736.000000,3.522623,10.000000,1.000000,0.497882,0.497885:211736.000000,3.630271,10.000000,1.000000,0.529059,0.529061"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,100,1000,230457,654,657,68,69,61,62,78,81,135,4,1908.88,"219671.000000,8.157404,827.000000,0.000000,6.239742,6.239771:219671.000000,102.750368,129.000000,0.000000,256.579293,256.580461:219671.000000,6.780326,28.000000,1.000000,3.724440,3.724457:219671.000000,7.312649,28.000000,1.000000,4.015238,4.015256"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,100,1000,222696,696,698,63,66,70,70,66,67,102,3,1815.11,"212428.000000,8.012823,705.000000,1.000000,5.135486,5.135510:212428.000000,102.770732,129.000000,0.000000,256.780956,256.782165:212428.000000,6.695163,28.000000,1.000000,3.147193,3.147208:212428.000000,7.204050,28.000000,1.000000,3.304259,3.304275"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,100,1000,255796,654,662,63,70,63,74,69,79,134,17,2056.04,"238824.000000,8.075595,732.000000,1.000000,4.945295,4.945316:238824.000000,104.322447,129.000000,0.000000,128.397268,128.397805:238824.000000,7.069830,25.000000,1.000000,3.379068,3.379082:238824.000000,7.492425,25.000000,2.000000,3.569182,3.569197"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,100,1000,232204,656,657,71,75,65,66,65,68,139,4,1925.49,"220346.000000,8.206543,760.000000,1.000000,5.676895,5.676920:220346.000000,102.675392,128.000000,0.000000,257.311275,257.312442:220346.000000,6.863011,23.000000,1.000000,3.783831,3.783848:220346.000000,7.395846,23.000000,1.000000,4.056376,4.056394"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,100,1000,256485,636,646,67,74,76,86,77,82,128,16,2084.95,"238907.000000,8.193778,738.000000,1.000000,4.996430,4.996451:238907.000000,104.033770,129.000000,0.000000,138.923236,138.923817:238907.000000,7.170305,24.000000,1.000000,3.539033,3.539048:238907.000000,7.615846,24.000000,2.000000,3.687973,3.687988"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,100,1000,223727,680,682,65,68,62,65,69,74,118,6,1826.19,"209908.000000,8.167778,780.000000,1.000000,6.050323,6.050352:209908.000000,102.647136,129.000000,0.000000,275.406696,275.408008:209908.000000,6.694890,25.000000,1.000000,3.620473,3.620490:209908.000000,7.216876,25.000000,1.000000,3.879047,3.879065"
